FID,SampleID,Species,Latitude,Longitude,dem3s_int,ADBed,Pclay,pH,Psand,Psilt,SOC,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,HLI,CTI
81,NSW0306,Eucalyptus sideroxylon,-34.011464,148.6543079,369,3065,32,62,53,15,44,15.625,12,42.8571014,563.2390137,28.7999992,0.8,28,11.8167,19.9167004,22.6499996,8.7666702,664,68,41,15.7019997,188,133,166,171,0.889493,10.6139002
82,NSW0476,Eucalyptus sideroxylon,-34.27466204,148.8474648,519,2220,28,62,55,17,45,14.3832998,12.5667,44.405201,559.8670044,27.7000008,-0.6,28.2999992,8.3999996,18.6000004,21.3666992,7.53333,740,74,46,16.2782001,219,148,174,202,0.905423,10.9066
83,NSW0480,Eucalyptus sideroxylon,-34.31748418,148.9161931,618,1840,28,61,55,17,57,13.6917,11.6667004,43.2098999,541.8400269,26.2000008,-0.8,27,7.8333302,17.7999992,20.4167004,7.0166702,778,79,47,17.3171005,235,154,179,217,0.877577,10.948
84,NSW0481,Eucalyptus sideroxylon,-34.31118568,148.9761603,645,2312,26,62,55,20,54,13.5791998,12.0583,44.3320999,542.40802,26.2999992,-0.9,27.2000008,7.7333298,17.6833,20.3666992,6.9333301,792,82,47,18.1462994,241,155,180,223,0.889275,9.9467096
85,NSW0482,Eucalyptus sideroxylon,-34.30988138,148.9898644,614,2461,26,63,54,20,54,13.6750002,12.1833,44.6276016,543.4799805,26.3999996,-0.9,27.2999992,7.8166699,17.7833004,20.4666996,7,786,80,47,17.7868996,237,154,181,219,0.892993,12.1651001
86,NSW0484,Eucalyptus sideroxylon,-34.28507941,149.0287272,516,2462,30,65,56,14,50,14.2875004,12.1083002,43.7123985,552.1290283,27.2000008,-0.5,27.7000008,8.4166698,18.4167004,21.1833,7.4833298,746,75,46,16.4360008,220,151,177,202,0.874373,9.3280001
87,J387,Eucalyptus sideroxylon,-32.24456,146.18248,285,3071,27,72,61,12,38,17.6166992,12.4833002,42.1734009,620.2280273,31.3999996,1.8,29.6000004,25.2166996,11.0500002,25.2166996,9.8666697,392,41,28,11.1379004,112,88,112,93,0.896843,10.6368999
88,NSW0220,Eucalyptus sideroxylon,-33.01505,147.9168203,315,2696,27,68,63,10,47,17.1583004,12.1499996,42.6315994,592.4710083,30.5,2,28.5,22.8500004,9.8166704,24.5,9.8166704,568,66,32,16.8854008,162,123,160,123,0.899617,10.0516996
89,NSW0221,Eucalyptus sideroxylon,-32.97080546,147.9439458,324,2728,26,67,62,12,51,17.1208,11.9582996,42.1068001,590.848999,30.3999996,2,28.3999996,22.7999992,9.8166704,24.4500008,9.8166704,579,68,32,17.1882,166,126,164,126,0.895508,13.3039999
90,NSW0222,Eucalyptus sideroxylon,-32.94891402,147.8816904,294,2714,30,68,60,11,41,17.3292007,12.2250004,42.7448006,594.1550293,30.7000008,2.0999999,28.6000004,23.0333004,9.9833298,24.6833,9.9833298,563,67,30,18.1819,163,119,161,119,0.892372,11.3604002
