FID,SampleID,Species,Latitude,Longitude,dem3s_int,ADBed,Pclay,pH,Psand,Psilt,SOC,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,HLI,CTI
135,GOL0017,Eucalyptus melliodora,-35.064829,149.8654812,594,2406,30,67,53,17,59,13.1833,12.6499996,48.2823982,495.5639954,25.3999996,-0.8,26.2000008,18.8999996,7.8333302,19.1499996,6.8666701,708,73,41,16.9521008,206,147,184,148,0.877518,11.0909996
136,GOL0018,Eucalyptus melliodora,-35.08290416,149.8458555,598,2315,30,66,50,19,59,13.0667,12.5500002,48.2691994,495.802002,25.2000008,-0.8,26,18.7999992,7.7333298,19.0333004,6.75,709,73,41,17.2301998,206,146,184,148,0.895606,10.3732996
137,GOL0019,Eucalyptus melliodora,-35.0929072,149.8306888,627,2826,25,63,60,15,66,12.875,12.3332996,47.9896011,491.8259888,24.8999996,-0.8,25.7000008,18.5832996,7.6333299,18.7999992,6.6333299,709,73,42,16.6504993,205,147,183,148,0.889508,11.8184996
138,GOL0020,Eucalyptus melliodora,-35.11568679,149.8138964,625,2068,24,64,57,18,63,12.8542004,12.2582998,47.6977997,491.9920044,24.8999996,-0.8,25.7000008,18.5832996,7.5999999,18.7999992,6.6166701,710,74,42,17.1679993,205,147,184,147,0.887735,10.5125999
139,GOL0021,Eucalyptus melliodora,-35.10303673,149.8190508,625,2573,23,62,58,18,65,12.8667002,12.3000002,47.8599014,492.0010071,24.8999996,-0.8,25.7000008,18.5832996,7.6333299,18.8167,6.6333299,709,74,42,16.9948006,205,147,183,148,0.896869,12.0909004
140,GOL0022,Eucalyptus melliodora,-34.96374845,149.8216151,651,1962,26,62,54,20,63,12.9792004,12.3249998,47.9571991,493.9429932,24.8999996,-0.8,25.7000008,18.7166996,7.75,18.9500008,6.71667,709,73,44,14.5347996,202,151,184,153,0.897822,9.5515404
141,GOL0023,Eucalyptus melliodora,-34.95464193,149.8286439,637,1987,26,61,54,20,64,13.0042,12.375,47.9650993,494.9630127,25,-0.8,25.7999992,18.75,7.75,19,6.7333298,707,73,43,15.1878004,203,150,184,151,0.898851,10.8648005
142,GOL0024,Eucalyptus melliodora,-34.91414376,149.8963593,637,1969,26,63,59,15,62,13.0832996,12.4333,48.1912003,491.4599915,25.1000004,-0.7,25.7999992,18.7833004,7.8333302,19.0333004,6.8333302,721,74,43,15.2852001,209,151,189,154,0.893803,12.2462997
143,GOL0025,Eucalyptus melliodora,-34.90062333,149.9203847,638,2306,31,65,52,17,62,13.0874996,12.3583002,48.2747002,487.6149902,25,-0.6,25.6000004,18.7332993,7.8833299,19,6.8833299,734,76,43,15.8327999,215,152,194,156,0.896124,10.8028002
144,GOL0026,Eucalyptus melliodora,-34.85496668,149.9551925,596,2467,27,65,56,18,63,13.3416996,12.3999996,48.4375,483.79599,25.2000008,-0.4,25.6000004,18.9333,8.1999998,19.2000008,7.1999998,729,75,43,15.5502996,214,150,194,158,0.893962,11.5757999
145,GOL0027,Eucalyptus melliodora,-34.85478479,149.9550694,596,2467,27,65,56,18,63,13.3416996,12.3999996,48.4375,483.79599,25.2000008,-0.4,25.6000004,18.9333,8.1999998,19.2000008,7.1999998,729,75,43,15.5502996,214,150,194,158,0.893962,11.5757999
146,GOL0028,Eucalyptus melliodora,-34.84301266,149.9758547,570,1659,28,65,53,19,58,13.5291996,12.0749998,47.9166985,479.7839966,25.2000008,0,25.2000008,19.0667,8.4333296,19.3500004,7.4333301,735,76,42,16.2259007,218,150,197,159,0.888537,8.9581499
147,GOL0029,Eucalyptus melliodora,-34.85567085,149.9485649,583,1878,28,65,55,18,61,13.3708,12.4250002,48.3462982,486.2630005,25.2999992,-0.4,25.7000008,18.9832993,8.1999998,19.2667007,7.1999998,723,75,42,15.8922005,212,148,194,155,0.884212,9.7702999
148,GOL0030,Eucalyptus melliodora,-34.82950808,149.9507709,585,2097,27,64,56,18,60,13.3792,11.9750004,47.3320007,481.42099,25.1000004,-0.2,25.2999992,18.9333,8.2666702,19.2166996,7.2666702,723,75,42,15.5219002,212,150,194,156,0.914094,9.0676298
149,GOL0031,Eucalyptus melliodora,-34.8086674,149.953166,593,2110,31,67,52,17,63,13.3583002,12.0333004,47.1894989,482.2380066,25.2000008,-0.3,25.5,18.9167004,8.2333298,19.2000008,7.2333298,721,75,42,15.7096996,212,149,194,155,0.898749,10.0837002
150,GOL0032,Eucalyptus melliodora,-34.77803011,149.9807995,640,2230,23,61,61,16,70,13.1792002,11.9750004,47.3320007,481.3259888,24.8999996,-0.4,25.2999992,18.75,8.0500002,19.0167007,7.0833302,741,77,43,15.1660995,218,153,200,159,0.898217,12.5636997
151,GOL0033,Eucalyptus melliodora,-34.77781638,149.9758829,634,1959,24,60,60,15,65,13.1792002,11.9750004,47.3320007,481.3259888,24.8999996,-0.4,25.2999992,18.75,8.0500002,19.0167007,7.0833302,741,77,43,15.1660995,218,153,200,159,0.896762,10.6083002
