,MAT,TDiurnRng,Isotherm,TSeas,TMaxWrmM,TMinCM,TAnnRng,AveTWetQtr,AveTDQtr,AveTWrmQtr,AveTCQtr,MAP,PWetM,PDryM,PSeas,PWetQtr,PDryQtr,PWrmQtr,PColdQtr
SV11,57,157,43,7275,257,-108,365,130,-31,154,-31,423,59,15,42,163,49,154,49
SV12,57,158,43,7293,258,-109,367,131,-31,155,-31,425,59,15,42,163,50,154,50
SV13,63,158,42,7356,264,-104,368,137,-26,161,-26,417,60,14,44,162,47,150,47
SV14,64,158,42,7371,265,-104,369,138,-26,162,-26,418,60,14,44,163,47,151,47
SV15,67,158,42,7423,269,-103,372,142,-23,166,-23,414,61,13,45,163,44,149,44
SV16,67,158,42,7423,269,-103,372,142,-23,166,-23,414,61,13,45,163,44,149,44
SV17,71,158,42,7530,274,-100,374,148,-21,172,-21,413,62,13,44,163,44,146,44
SV20,75,158,42,7569,278,-98,376,151,-18,175,-18,412,63,13,44,162,44,143,44
SV23,75,158,42,7569,278,-98,376,151,-18,175,-18,412,63,13,44,162,44,143,44
SV28,83,158,41,7826,288,-96,384,163,-13,187,-13,411,65,13,44,161,44,136,44
SV31,84,158,41,7848,290,-95,385,120,-13,188,-13,413,66,13,44,162,44,135,44
SV32,84,158,41,7848,290,-95,385,120,-13,188,-13,413,66,13,44,162,44,135,44
SV33,84,158,41,7848,290,-95,385,120,-13,188,-13,413,66,13,44,162,44,135,44
SV34,88,159,40,7985,295,-95,390,125,-11,194,-11,408,66,13,44,161,44,130,44
SV35,88,159,40,7985,295,-95,390,125,-11,194,-11,408,66,13,44,161,44,130,44
SV37,90,159,40,8069,298,-95,393,128,-11,196,-11,404,66,13,45,161,43,128,43
SV38,90,159,40,8069,298,-95,393,128,-11,196,-11,404,66,13,45,161,43,128,43
SV39,85,157,40,7880,291,-95,386,121,-12,189,-12,413,66,13,44,162,44,135,44
SV40,90,160,40,8114,298,-96,394,129,-11,197,-11,402,66,13,45,161,43,128,43
SV41,90,160,40,8114,298,-96,394,129,-11,197,-11,402,66,13,45,161,43,128,43
SV45,90,160,40,8114,298,-96,394,129,-11,197,-11,402,66,13,45,161,43,128,43
SV48,91,160,40,8129,299,-97,396,130,-11,198,-11,402,66,13,45,161,43,128,43
SV50,91,160,40,8129,299,-97,396,130,-11,198,-11,402,66,13,45,161,43,128,43
SV51,91,160,40,8150,301,-97,398,130,-11,198,-11,399,66,12,45,161,42,126,42
SV52,91,160,40,8188,302,-97,399,130,-11,199,-11,398,66,12,46,161,41,126,41
SV53,91,160,40,8170,301,-97,398,130,-11,199,-11,399,66,12,46,161,41,127,41
NP1,83,153,36,8970,316,-99,415,122,-27,203,-27,322,60,11,54,147,36,98,36
NP2,82,153,36,8957,315,-100,415,122,-27,203,-27,323,60,11,54,147,36,98,36
NP3,82,153,36,8957,315,-100,415,122,-27,203,-27,323,60,11,54,147,36,98,36
NP4,82,153,36,8957,315,-100,415,122,-27,203,-27,323,60,11,54,147,36,98,36
NP6,78,152,36,9177,313,-106,419,120,-36,201,-36,298,53,12,48,129,37,84,37
NP8,78,152,36,9168,313,-106,419,120,-36,200,-36,297,53,12,48,129,37,84,37
NP12,78,152,36,9168,313,-106,419,120,-36,200,-36,297,53,12,48,129,37,84,37
NP13,78,152,36,9168,313,-106,419,120,-36,200,-36,297,53,12,48,129,37,84,37
NP14,78,151,35,9250,312,-109,421,120,-38,200,-38,282,51,11,48,122,35,78,35
NP16,72,144,34,9219,302,-110,412,113,-44,194,-44,264,48,10,46,113,33,73,33
NP17,72,144,34,9219,302,-110,412,113,-44,194,-44,264,48,10,46,113,33,73,33
NP19,72,144,34,9219,302,-110,412,113,-44,194,-44,264,48,10,46,113,33,73,33
NP21,72,144,34,9219,302,-110,412,113,-44,194,-44,264,48,10,46,113,33,73,33
NP25,72,144,34,9219,302,-110,412,113,-44,194,-44,264,48,10,46,113,33,73,33
NP26,77,149,35,9356,312,-111,423,120,-41,201,-41,255,47,9,49,111,30,70,30
NP27,78,150,35,9286,312,-109,421,120,-39,201,-39,266,48,10,47,115,33,74,33
NP29,78,150,35,9286,312,-109,421,120,-39,201,-39,266,48,10,47,115,33,74,33
NP30,78,150,35,9286,312,-109,421,120,-39,201,-39,266,48,10,47,115,33,74,33
NP31,78,150,35,9286,312,-109,421,120,-39,201,-39,266,48,10,47,115,33,74,33
NP33,78,150,35,9286,312,-109,421,120,-39,201,-39,266,48,10,47,115,33,74,33
NP36,77,150,35,9264,311,-110,421,119,-39,200,-39,276,50,11,47,119,34,76,34
NP37,77,150,35,9264,311,-110,421,119,-39,200,-39,276,50,11,47,119,34,76,34
NP38,77,150,35,9264,311,-110,421,119,-39,200,-39,276,50,11,47,119,34,76,34
NP39,77,150,35,9264,311,-110,421,119,-39,200,-39,276,50,11,47,119,34,76,34
NP40,77,150,35,9264,311,-110,421,119,-39,200,-39,276,50,11,47,119,34,76,34
NP42,77,151,35,9243,312,-109,421,119,-38,200,-38,282,51,11,48,122,35,78,35
NP65,78,158,37,8954,307,-111,418,117,-31,198,-31,316,60,9,56,145,32,104,32
NP66,77,157,37,8945,306,-111,417,117,-31,197,-31,318,60,9,56,146,32,106,32
NP67,80,157,37,8992,311,-108,419,120,-30,200,-30,316,60,9,56,146,32,103,32
NP75,84,153,36,8995,317,-99,416,124,-26,205,-26,320,60,10,56,148,33,99,33
NP76,84,153,36,8982,317,-99,416,123,-26,204,-26,320,60,10,56,148,33,99,33
NP80,83,154,37,8985,316,-100,416,123,-27,203,-27,321,60,11,54,147,35,98,35
NP83,82,154,36,9015,315,-102,417,122,-29,202,-29,317,59,11,53,144,36,95,36
NP86,81,154,36,9053,314,-103,417,122,-31,201,-31,311,57,11,52,139,36,91,36
NP91,78,152,36,9216,313,-108,421,120,-36,201,-36,293,53,12,48,127,37,82,37
NLX10,77,174,42,8004,306,-105,411,57,-8,186,-18,335,37,21,16,99,69,82,70
NLX14,77,174,42,8004,306,-105,411,57,-8,186,-18,335,37,21,16,99,69,82,70
NLX16,77,174,42,8004,306,-105,411,57,-8,186,-18,335,37,21,16,99,69,82,70
NLX22,81,175,42,8070,311,-102,413,62,-6,191,-15,317,35,19,17,95,63,78,64
NLX31,86,176,42,8196,317,-101,418,67,-4,196,-13,293,32,17,19,88,57,73,57
NLX33,90,177,41,8332,323,-100,423,73,-3,202,-12,270,29,15,20,82,50,68,50
NLX34,90,177,41,8332,323,-100,423,73,-3,202,-12,270,29,15,20,82,50,68,50
NLX35,90,177,41,8332,323,-100,423,73,-3,202,-12,270,29,15,20,82,50,68,50
NSN2,96,178,41,8498,331,-97,428,82,-10,209,-10,235,24,12,22,71,41,61,41
NSN3,96,178,41,8498,331,-97,428,82,-10,209,-10,235,24,12,22,71,41,61,41
NSN10,92,178,41,8380,327,-98,425,77,-11,205,-11,253,26,13,20,76,45,65,45
NSN11,92,178,41,8380,327,-98,425,77,-11,205,-11,253,26,13,20,76,45,65,45
NSN14,91,178,41,8329,325,-99,424,75,-2,203,-11,262,28,14,21,79,48,67,48
NSN16,89,178,42,8294,323,-100,423,73,-2,201,-12,271,29,15,19,82,51,68,51
NSN18,89,178,42,8294,323,-100,423,73,-2,201,-12,271,29,15,19,82,51,68,51
NSN19,89,178,42,8294,323,-100,423,73,-2,201,-12,271,29,15,19,82,51,68,51
NSN22,83,176,42,8088,313,-102,415,63,-5,192,-14,315,35,19,17,95,63,77,63
NSN25,83,176,42,8075,314,-101,415,64,-4,193,-13,310,34,18,18,93,61,77,61
NSN26,83,176,42,8075,314,-101,415,64,-4,193,-13,310,34,18,18,93,61,77,61
NWV5,93,179,41,8373,328,-99,427,78,-2,205,-11,241,25,12,21,73,42,63,42
NWV6,93,179,41,8373,328,-99,427,78,-2,205,-11,241,25,12,21,73,42,63,42
NWV7,93,179,41,8398,329,-99,428,79,-2,205,-11,240,25,12,21,73,42,62,42
NWV10,93,179,41,8398,329,-99,428,79,-2,205,-11,240,25,12,21,73,42,62,42
NSP1,83,178,42,8153,316,-104,420,67,-7,193,-16,275,29,16,18,83,52,70,52
NSP4,83,178,42,8153,316,-104,420,67,-7,193,-16,275,29,16,18,83,52,70,52
XNEC1,54,168,41,7809,278,-124,402,34,-29,159,-40,357,37,26,12,106,80,85,81
XNEC6,54,168,41,7809,278,-124,402,34,-29,159,-40,357,37,26,12,106,80,85,81
XNEC7,54,168,41,7809,278,-124,402,34,-29,159,-40,357,37,26,12,106,80,85,81
XNEC9,54,168,41,7809,278,-124,402,34,-29,159,-40,357,37,26,12,106,80,85,81
XNEC12,54,168,41,7809,278,-124,402,34,-29,159,-40,357,37,26,12,106,80,85,81
NKZ2,75,172,41,8065,305,-106,411,105,-14,183,-23,267,31,17,18,83,52,68,52
NKZ4,75,172,41,8065,305,-106,411,105,-14,183,-23,267,31,17,18,83,52,68,52
NKZ5,75,172,41,8065,305,-106,411,105,-14,183,-23,267,31,17,18,83,52,68,52
NKZ6,70,171,41,8018,299,-110,409,53,-17,178,-27,288,33,19,16,87,58,72,58
NKZ8,59,169,41,7871,284,-119,403,40,-25,165,-36,337,36,24,13,101,74,81,74
NKZ9,59,169,41,7871,284,-119,403,40,-25,165,-36,337,36,24,13,101,74,81,74
NKZ10,59,169,41,7871,284,-119,403,40,-25,165,-36,337,36,24,13,101,74,81,74
UTIC50,89,149,36,8750,306,-97,403,155,130,204,-23,342,39,12,26,111,56,86,84
UTIC51,89,149,36,8750,306,-97,403,155,130,204,-23,342,39,12,26,111,56,86,84
UTIC52,89,149,36,8750,306,-97,403,155,130,204,-23,342,39,12,26,111,56,86,84
UTIC53,89,149,36,8750,306,-97,403,155,130,204,-23,342,39,12,26,111,56,86,84
UTIC54,89,149,36,8750,306,-97,403,155,130,204,-23,342,39,12,26,111,56,86,84
UTIC55,89,149,36,8750,306,-97,403,155,130,204,-23,342,39,12,26,111,56,86,84
UTIC56,89,149,36,8750,306,-97,403,155,130,204,-23,342,39,12,26,111,56,86,84
UTIC57,89,149,36,8750,306,-97,403,155,130,204,-23,342,39,12,26,111,56,86,84
UTIC58,89,149,36,8750,306,-97,403,155,130,204,-23,342,39,12,26,111,56,86,84
UTIC59,89,149,36,8750,306,-97,403,155,130,204,-23,342,39,12,26,111,56,86,84
UTIC60,89,149,36,8750,306,-97,403,155,130,204,-23,342,39,12,26,111,56,86,84
UTIC61,89,149,36,8750,306,-97,403,155,130,204,-23,342,39,12,26,111,56,86,84
UTIC62,89,149,36,8750,306,-97,403,155,130,204,-23,342,39,12,26,111,56,86,84
UTIC63,89,149,36,8750,306,-97,403,155,130,204,-23,342,39,12,26,111,56,86,84
UTIC64,89,149,36,8750,306,-97,403,155,130,204,-23,342,39,12,26,111,56,86,84
UTIC65,89,149,36,8750,306,-97,403,155,130,204,-23,342,39,12,26,111,56,86,84
UTIC66,89,149,36,8750,306,-97,403,155,130,204,-23,342,39,12,26,111,56,86,84
UTIC67,89,149,36,8750,306,-97,403,155,130,204,-23,342,39,12,26,111,56,86,84
UTIC68,89,149,36,8750,306,-97,403,155,130,204,-23,342,39,12,26,111,56,86,84
UTIC69,89,149,36,8750,306,-97,403,155,130,204,-23,342,39,12,26,111,56,86,84
UTIC70,89,149,36,8750,306,-97,403,155,130,204,-23,342,39,12,26,111,56,86,84
UTIC71,89,149,36,8750,306,-97,403,155,130,204,-23,342,39,12,26,111,56,86,84
UTIC72,89,149,36,8750,306,-97,403,155,130,204,-23,342,39,12,26,111,56,86,84
UTIC73,90,150,37,8759,308,-97,405,156,131,205,-22,337,39,12,25,109,55,85,83
UTIC74,90,150,37,8759,308,-97,405,156,131,205,-22,337,39,12,25,109,55,85,83
UTIC75,89,149,36,8750,306,-97,403,155,130,204,-23,342,39,12,26,111,56,86,84
UTIC76,90,150,37,8759,308,-97,405,156,131,205,-22,337,39,12,25,109,55,85,83
UTIC77,90,150,37,8759,308,-97,405,156,131,205,-22,337,39,12,25,109,55,85,83
UTIC78,90,150,37,8759,308,-97,405,156,131,205,-22,337,39,12,25,109,55,85,83
UTIC79,90,150,37,8759,308,-97,405,156,131,205,-22,337,39,12,25,109,55,85,83
UTIC80,90,150,37,8759,308,-97,405,156,131,205,-22,337,39,12,25,109,55,85,83
UTIC81,90,150,37,8759,308,-97,405,156,131,205,-22,337,39,12,25,109,55,85,83
UTIC82,90,150,37,8759,308,-97,405,156,131,205,-22,337,39,12,25,109,55,85,83
UTIC83,90,150,37,8759,308,-97,405,156,131,205,-22,337,39,12,25,109,55,85,83
UTIC84,89,149,36,8750,306,-97,403,155,130,204,-23,342,39,12,26,111,56,86,84
UTIC85,90,150,37,8759,308,-97,405,156,131,205,-22,337,39,12,25,109,55,85,83
UTIC86,94,151,36,8853,314,-95,409,161,136,210,-19,327,37,12,25,106,54,82,80
UTIC87,94,151,36,8853,314,-95,409,161,136,210,-19,327,37,12,25,106,54,82,80
UTIC88,94,151,36,8853,314,-95,409,161,136,210,-19,327,37,12,25,106,54,82,80
UTIC89,94,151,36,8853,314,-95,409,161,136,210,-19,327,37,12,25,106,54,82,80
UTBR1,49,178,43,7806,269,-137,406,-6,126,152,-48,448,53,21,21,130,95,110,108
UTBR2,49,178,43,7806,269,-137,406,-6,126,152,-48,448,53,21,21,130,95,110,108
UTBR3,49,178,43,7806,269,-137,406,-6,126,152,-48,448,53,21,21,130,95,110,108
UTBR4,49,178,43,7806,269,-137,406,-6,126,152,-48,448,53,21,21,130,95,110,108
UTBR5,49,178,43,7806,269,-137,406,-6,126,152,-48,448,53,21,21,130,95,110,108
UTBR6,49,178,43,7806,269,-137,406,-6,126,152,-48,448,53,21,21,130,95,110,108
UTBR7,47,177,43,7784,267,-138,405,-8,77,150,-49,448,53,21,21,129,95,111,108
UTBR8,47,177,43,7784,267,-138,405,-8,77,150,-49,448,53,21,21,129,95,111,108
UTBR9,47,177,43,7784,267,-138,405,-8,77,150,-49,448,53,21,21,129,95,111,108
UTBR10,49,178,43,7806,269,-137,406,-6,126,152,-48,448,53,21,21,130,95,110,108
UTBR11,49,178,43,7806,269,-137,406,-6,126,152,-48,448,53,21,21,130,95,110,108
UTBR12,49,178,43,7806,269,-137,406,-6,126,152,-48,448,53,21,21,130,95,110,108
UTBR14,49,178,43,7806,269,-137,406,-6,126,152,-48,448,53,21,21,130,95,110,108
UTBR15,49,178,43,7806,269,-137,406,-6,126,152,-48,448,53,21,21,130,95,110,108
UTBR16,49,178,43,7806,269,-137,406,-6,126,152,-48,448,53,21,21,130,95,110,108
UTBR17,49,178,43,7806,269,-137,406,-6,126,152,-48,448,53,21,21,130,95,110,108
UTBR18,54,180,43,7870,277,-133,410,0,132,158,-43,443,54,21,22,131,94,107,107
UTBR19,54,180,43,7870,277,-133,410,0,132,158,-43,443,54,21,22,131,94,107,107
UTBR20,54,180,43,7870,277,-133,410,0,132,158,-43,443,54,21,22,131,94,107,107
UTBR21,54,180,43,7870,277,-133,410,0,132,158,-43,443,54,21,22,131,94,107,107
UTBR22,54,180,43,7870,277,-133,410,0,132,158,-43,443,54,21,22,131,94,107,107
UTBR23,58,181,43,7900,282,-130,412,4,136,163,-40,430,52,20,22,127,92,104,103
UTBR24,58,181,43,7900,282,-130,412,4,136,163,-40,430,52,20,22,127,92,104,103
UTBR25,58,181,43,7900,282,-130,412,4,136,163,-40,430,52,20,22,127,92,104,103
UTBR26,58,181,43,7900,282,-130,412,4,136,163,-40,430,52,20,22,127,92,104,103
UTBR27,58,181,43,7900,282,-130,412,4,136,163,-40,430,52,20,22,127,92,104,103
UTBR28,57,180,43,7903,281,-131,412,3,135,162,-41,436,53,20,21,130,92,104,106
UTBR29,57,180,43,7903,281,-131,412,3,135,162,-41,436,53,20,21,130,92,104,106
UTBR30,57,180,43,7903,281,-131,412,3,135,162,-41,436,53,20,21,130,92,104,106
UTBR31,57,180,43,7903,281,-131,412,3,135,162,-41,436,53,20,21,130,92,104,106
UTBR32,57,180,43,7903,281,-131,412,3,135,162,-41,436,53,20,21,130,92,104,106
UTBR33,61,181,43,7947,286,-127,413,7,140,167,-37,403,47,19,21,117,87,99,95
UTBR34,61,181,43,7947,286,-127,413,7,140,167,-37,403,47,19,21,117,87,99,95
UTBR35,57,180,43,7918,281,-131,412,2,135,162,-41,435,53,20,21,130,92,104,105
UTBR36,57,180,43,7918,281,-131,412,2,135,162,-41,435,53,20,21,130,92,104,105
UTBR37,57,180,43,7918,281,-131,412,2,135,162,-41,435,53,20,21,130,92,104,105
UTBR38,59,181,43,7929,283,-129,412,4,137,164,-40,424,51,20,21,125,91,104,101
UTBR39,59,181,43,7929,283,-129,412,4,137,164,-40,424,51,20,21,125,91,104,101
UTBR40,61,181,43,7931,285,-127,412,7,140,166,-37,406,48,19,21,118,88,100,95
UTBR41,65,182,43,7985,291,-123,414,51,145,171,-34,375,43,18,20,108,83,95,86
UTBR42,65,182,43,7985,291,-123,414,51,145,171,-34,375,43,18,20,108,83,95,86
UTBR43,65,182,43,7985,291,-123,414,51,145,171,-34,375,43,18,20,108,83,95,86
UTBR44,65,182,43,7985,291,-123,414,51,145,171,-34,375,43,18,20,108,83,95,86
UTBR45,74,182,43,8061,301,-115,416,175,-17,181,-26,329,40,16,21,100,71,87,71
UTBR46,74,182,43,8061,301,-115,416,175,-17,181,-26,329,40,16,21,100,71,87,71
UTBR47,74,182,43,8061,301,-115,416,175,-17,181,-26,329,40,16,21,100,71,87,71
UTBR48,74,182,43,8061,301,-115,416,175,-17,181,-26,329,40,16,21,100,71,87,71
UTBR49,74,182,43,8061,301,-115,416,175,-17,181,-26,329,40,16,21,100,71,87,71
UTBR50,74,182,43,8061,301,-115,416,175,-17,181,-26,329,40,16,21,100,71,87,71
UTCC1,92,166,40,8596,318,-97,415,80,205,205,-17,313,35,16,17,97,63,63,76
UTCC2,92,166,40,8596,318,-97,415,80,205,205,-17,313,35,16,17,97,63,63,76
UTCC3,92,166,40,8596,318,-97,415,80,205,205,-17,313,35,16,17,97,63,63,76
UTCC4,92,166,40,8596,318,-97,415,80,205,205,-17,313,35,16,17,97,63,63,76
UTCC5,92,166,40,8596,318,-97,415,80,205,205,-17,313,35,16,17,97,63,63,76
UTCC6,92,166,40,8596,318,-97,415,80,205,205,-17,313,35,16,17,97,63,63,76
UTCC7,92,166,40,8596,318,-97,415,80,205,205,-17,313,35,16,17,97,63,63,76
UTCC8,92,166,40,8596,318,-97,415,80,205,205,-17,313,35,16,17,97,63,63,76
UTCC9,92,166,40,8596,318,-97,415,80,205,205,-17,313,35,16,17,97,63,63,76
UTCC10,92,166,40,8596,318,-97,415,80,205,205,-17,313,35,16,17,97,63,63,76
UTCC11,92,166,40,8596,318,-97,415,80,205,205,-17,313,35,16,17,97,63,63,76
UTCC12,92,166,40,8596,318,-97,415,80,205,205,-17,313,35,16,17,97,63,63,76
UTCC13,92,166,40,8596,318,-97,415,80,205,205,-17,313,35,16,17,97,63,63,76
UTCC14,92,166,40,8596,318,-97,415,80,205,205,-17,313,35,16,17,97,63,63,76
UTCC15,92,166,40,8596,318,-97,415,80,205,205,-17,313,35,16,17,97,63,63,76
UTCC16,92,166,40,8596,318,-97,415,80,205,205,-17,313,35,16,17,97,63,63,76
UTCC17,92,166,40,8596,318,-97,415,80,205,205,-17,313,35,16,17,97,63,63,76
UTCC18,92,166,40,8596,318,-97,415,80,205,205,-17,313,35,16,17,97,63,63,76
UTCC19,92,166,40,8596,318,-97,415,80,205,205,-17,313,35,16,17,97,63,63,76
UTCC20,92,166,40,8596,318,-97,415,80,205,205,-17,313,35,16,17,97,63,63,76
UTCC21,92,166,40,8596,318,-97,415,80,205,205,-17,313,35,16,17,97,63,63,76
UTCC22,92,166,40,8596,318,-97,415,80,205,205,-17,313,35,16,17,97,63,63,76
UTCC23,92,166,40,8596,318,-97,415,80,205,205,-17,313,35,16,17,97,63,63,76
UTCC24,92,166,40,8596,318,-97,415,80,205,205,-17,313,35,16,17,97,63,63,76
UTCC25,92,166,40,8596,318,-97,415,80,205,205,-17,313,35,16,17,97,63,63,76
UTCC26,92,166,40,8596,318,-97,415,80,205,205,-17,313,35,16,17,97,63,63,76
UTCC27,92,166,40,8596,318,-97,415,80,205,205,-17,313,35,16,17,97,63,63,76
UTCC28,92,166,40,8596,318,-97,415,80,205,205,-17,313,35,16,17,97,63,63,76
UTCC29,92,166,40,8596,318,-97,415,80,205,205,-17,313,35,16,17,97,63,63,76
UTCC30,92,166,40,8596,318,-97,415,80,205,205,-17,313,35,16,17,97,63,63,76
UTCC31,92,166,40,8596,318,-97,415,80,205,205,-17,313,35,16,17,97,63,63,76
UTCC32,92,166,40,8596,318,-97,415,80,205,205,-17,313,35,16,17,97,63,63,76
UTCC33,92,166,40,8596,318,-97,415,80,205,205,-17,313,35,16,17,97,63,63,76
UTCC34,92,166,40,8596,318,-97,415,80,205,205,-17,313,35,16,17,97,63,63,76
UTCC35,92,166,40,8596,318,-97,415,80,205,205,-17,313,35,16,17,97,63,63,76
UTCC36,92,166,40,8596,318,-97,415,80,205,205,-17,313,35,16,17,97,63,63,76
UTCC37,92,166,40,8596,318,-97,415,80,205,205,-17,313,35,16,17,97,63,63,76
UTCC38,92,166,40,8596,318,-97,415,80,205,205,-17,313,35,16,17,97,63,63,76
UTCC39,90,166,39,8558,316,-100,416,78,203,203,-18,316,35,16,17,98,64,64,77
UTCC40,90,166,39,8558,316,-100,416,78,203,203,-18,316,35,16,17,98,64,64,77
UTCC41,90,166,39,8558,316,-100,416,78,203,203,-18,316,35,16,17,98,64,64,77
UTCC42,90,166,39,8558,316,-100,416,78,203,203,-18,316,35,16,17,98,64,64,77
UTCC43,90,166,39,8558,316,-100,416,78,203,203,-18,316,35,16,17,98,64,64,77
UTCC44,90,166,39,8558,316,-100,416,78,203,203,-18,316,35,16,17,98,64,64,77
UTCC45,90,166,39,8558,316,-100,416,78,203,203,-18,316,35,16,17,98,64,64,77
UTCC46,95,164,39,8714,322,-95,417,83,210,210,-15,313,36,15,19,99,60,60,78
UTCC47,95,164,39,8714,322,-95,417,83,210,210,-15,313,36,15,19,99,60,60,78
UTCC48,95,164,39,8714,322,-95,417,83,210,210,-15,313,36,15,19,99,60,60,78
UTOC01,77,163,39,8588,305,-109,414,63,191,191,-30,368,40,20,17,111,70,70,96
UTOC03,77,163,39,8588,305,-109,414,63,191,191,-30,368,40,20,17,111,70,70,96
UTOC05,77,163,39,8588,305,-109,414,63,191,191,-30,368,40,20,17,111,70,70,96
UTOC07,77,163,39,8588,305,-109,414,63,191,191,-30,368,40,20,17,111,70,70,96
UTOC08,77,163,39,8588,305,-109,414,63,191,191,-30,368,40,20,17,111,70,70,96
UTOC09,77,163,39,8588,305,-109,414,63,191,191,-30,368,40,20,17,111,70,70,96
UTOC10,77,163,39,8588,305,-109,414,63,191,191,-30,368,40,20,17,111,70,70,96
UTOC11,76,163,39,8565,304,-110,414,61,189,189,-31,370,41,20,18,113,70,70,96
UTOC12,76,163,39,8565,304,-110,414,61,189,189,-31,370,41,20,18,113,70,70,96
UTOC13,76,163,39,8565,304,-110,414,61,189,189,-31,370,41,20,18,113,70,70,96
UTOC14,76,163,39,8565,304,-110,414,61,189,189,-31,370,41,20,18,113,70,70,96
UTOC15,76,163,39,8565,304,-110,414,61,189,189,-31,370,41,20,18,113,70,70,96
UTOC16,76,163,39,8565,304,-110,414,61,189,189,-31,370,41,20,18,113,70,70,96
UTOC18,76,163,39,8565,304,-110,414,61,189,189,-31,370,41,20,18,113,70,70,96
UTOC19,76,163,39,8565,304,-110,414,61,189,189,-31,370,41,20,18,113,70,70,96
UTOC20,76,163,39,8565,304,-110,414,61,189,189,-31,370,41,20,18,113,70,70,96
UTOC21,76,163,39,8565,304,-110,414,61,189,189,-31,370,41,20,18,113,70,70,96
UTOC22,76,163,39,8565,304,-110,414,61,189,189,-31,370,41,20,18,113,70,70,96
UTOC23,76,163,39,8565,304,-110,414,61,189,189,-31,370,41,20,18,113,70,70,96
UTOC24,76,163,39,8565,304,-110,414,61,189,189,-31,370,41,20,18,113,70,70,96
UTOC25,76,163,39,8565,304,-110,414,61,189,189,-31,370,41,20,18,113,70,70,96
UTOC26,76,163,39,8565,304,-110,414,61,189,189,-31,370,41,20,18,113,70,70,96
UTOC27,76,163,39,8565,304,-110,414,61,189,189,-31,370,41,20,18,113,70,70,96
UTOC29,76,163,39,8565,304,-110,414,61,189,189,-31,370,41,20,18,113,70,70,96
UTOC30,76,163,39,8565,304,-110,414,61,189,189,-31,370,41,20,18,113,70,70,96
UTOC31,78,163,39,8615,306,-109,415,63,192,192,-30,367,40,20,17,111,70,70,96
UTOC32,78,163,39,8615,306,-109,415,63,192,192,-30,367,40,20,17,111,70,70,96
UTOC33,78,163,39,8615,306,-109,415,63,192,192,-30,367,40,20,17,111,70,70,96
UTOC35,78,163,39,8615,306,-109,415,63,192,192,-30,367,40,20,17,111,70,70,96
UTOC36,75,162,39,8573,303,-110,413,61,189,189,-32,371,41,20,18,113,71,71,96
UTOC37,78,163,39,8615,306,-109,415,63,192,192,-30,367,40,20,17,111,70,70,96
UTOC38,78,163,39,8615,306,-109,415,63,192,192,-30,367,40,20,17,111,70,70,96
UTOC39,78,163,39,8615,306,-109,415,63,192,192,-30,367,40,20,17,111,70,70,96
UTOC40,78,163,39,8615,306,-109,415,63,192,192,-30,367,40,20,17,111,70,70,96
UTOC41,78,163,39,8615,306,-109,415,63,192,192,-30,367,40,20,17,111,70,70,96
UTSC1,70,158,38,8611,295,-116,411,-22,182,182,-41,439,46,24,17,126,81,81,122
UTSC2,63,155,38,8493,285,-120,405,-28,174,174,-45,466,49,26,17,135,88,88,130
UTSC3,61,153,37,8460,282,-121,403,-31,172,172,-47,480,51,26,17,141,90,90,135
UTSC4,61,153,37,8460,282,-121,403,-31,172,172,-47,480,51,26,17,141,90,90,135
UTSC5,61,153,37,8460,282,-121,403,-31,172,172,-47,480,51,26,17,141,90,90,135
UTSC6,61,153,37,8460,282,-121,403,-31,172,172,-47,480,51,26,17,141,90,90,135
UTSC7,61,153,37,8460,282,-121,403,-31,172,172,-47,480,51,26,17,141,90,90,135
UTSC8,63,155,38,8493,285,-120,405,-28,174,174,-45,466,49,26,17,135,88,88,130
UTSC_U1,75,160,38,8649,303,-113,416,-18,187,187,-37,419,44,23,17,119,77,77,115
OR1,57,168,39,8631,290,-135,425,49,168,168,-56,497,53,22,22,151,83,83,132
OR2,59,168,39,8664,292,-134,426,51,170,170,-55,501,54,21,23,152,82,82,135
OR3,59,168,39,8664,292,-134,426,51,170,170,-55,501,54,21,23,152,82,82,135
OR4,59,168,39,8664,292,-134,426,51,170,170,-55,501,54,21,23,152,82,82,135
OR5,59,168,39,8664,292,-134,426,51,170,170,-55,501,54,21,23,152,82,82,135
OR6,64,165,38,8782,299,-130,429,58,177,177,-52,528,57,21,24,162,82,82,147
OR7,64,165,38,8782,299,-130,429,58,177,177,-52,528,57,21,24,162,82,82,147
OR8,64,165,38,8782,299,-130,429,58,177,177,-52,528,57,21,24,162,82,82,147
OR9,64,165,38,8782,299,-130,429,58,177,177,-52,528,57,21,24,162,82,82,147
OR10,64,165,38,8782,299,-130,429,58,177,177,-52,528,57,21,24,162,82,82,147
OR12,76,151,35,9183,307,-119,426,-29,193,193,-46,620,67,20,31,193,83,83,189
OR13,76,151,35,9183,307,-119,426,-29,193,193,-46,620,67,20,31,193,83,83,189
OR14,76,150,35,9202,307,-119,426,-29,194,194,-46,626,68,20,31,196,83,83,192
OR16,75,146,34,9132,305,-115,420,-28,193,193,-44,628,68,21,30,195,85,85,192
OR17,75,146,34,9132,305,-115,420,-28,193,193,-44,628,68,21,30,195,85,85,192
SC13,84,138,34,8975,309,-96,405,74,201,201,-31,598,69,20,30,192,83,83,176
SC18M,41,152,38,8139,257,-134,391,-47,148,148,-60,522,51,31,17,152,97,97,152
