,MAT,TDiurnRng,Isotherm,TSeas,TMaxWrmM,TMinCM,TAnnRng,AveTWetQtr,AveTDQtr,AveTWrmQtr,AveTCQtr,MAP,PWetM,PDryM,PSeas,PWetQtr,PDryQtr,PWrmQtr,PColdQtr
AL28,80,160,44,7200,275,-86,361,171,110,176,-8,543,75,12,39,195,60,158,149
AL98,80,160,44,7200,275,-86,361,171,110,176,-8,543,75,12,39,195,60,158,149
CSNL6,86,161,44,7261,283,-79,362,177,117,182,-3,441,63,12,37,157,56,131,118
CSNL7,86,161,44,7261,283,-79,362,177,117,182,-3,441,63,12,37,157,56,131,118
CSNL8,86,161,44,7261,283,-79,362,177,117,182,-3,441,63,12,37,157,56,131,118
AZWW2,93,158,44,7101,284,-71,355,182,122,188,6,620,86,12,41,219,62,178,177
AZWW7,92,158,44,7102,283,-71,354,181,121,187,6,620,86,12,41,219,62,178,177
JC2,102,164,44,7504,299,-72,371,195,134,201,9,474,71,10,43,182,49,147,122
JC3,102,164,43,7527,301,-72,373,196,134,202,9,467,70,10,43,179,48,145,120
JC4,102,164,43,7527,301,-72,373,196,134,202,9,467,70,10,43,179,48,145,120
JC6,102,164,44,7504,299,-72,371,195,134,201,9,474,71,10,43,182,49,147,122
JC7,102,164,44,7504,299,-72,371,195,134,201,9,474,71,10,43,182,49,147,122
JC8,102,164,44,7504,299,-72,371,195,134,201,9,474,71,10,43,182,49,147,122
JC9,102,164,44,7504,299,-72,371,195,134,201,9,474,71,10,43,182,49,147,122
JC11,102,164,44,7504,299,-72,371,195,134,201,9,474,71,10,43,182,49,147,122
JC12,102,164,44,7504,299,-72,371,195,134,201,9,474,71,10,43,182,49,147,122
JC13,102,164,44,7504,299,-72,371,195,134,201,9,474,71,10,43,182,49,147,122
AZCH1,86,153,43,7208,274,-80,354,176,115,181,-3,562,86,11,46,222,55,181,144
AZCH3,86,153,43,7208,274,-80,354,176,115,181,-3,562,86,11,46,222,55,181,144
AZCH4,86,153,43,7208,274,-80,354,176,115,181,-3,562,86,11,46,222,55,181,144
AZCH5,86,153,43,7208,274,-80,354,176,115,181,-3,562,86,11,46,222,55,181,144
CHV1,98,167,44,7455,295,-79,374,191,129,196,5,453,73,10,48,187,45,152,109
CHV2,98,167,44,7455,295,-79,374,191,129,196,5,453,73,10,48,187,45,152,109
CHV3,98,167,44,7455,295,-79,374,191,129,196,5,453,73,10,48,187,45,152,109
CHV4,99,168,44,7461,297,-78,375,192,131,198,7,452,73,10,48,187,45,152,108
CHV6,99,168,44,7461,297,-78,375,192,131,198,7,452,73,10,48,187,45,152,108
CHV7,99,168,44,7461,297,-78,375,192,131,198,7,452,73,10,48,187,45,152,108
ABC1X,86,165,45,7047,278,-84,362,175,115,179,0,568,89,12,47,229,53,187,146
ABC2X,85,164,45,7016,276,-84,360,173,114,178,-1,571,89,12,47,230,53,187,147
ABC3,84,162,45,7020,273,-84,357,172,112,177,-2,583,90,12,47,233,54,190,151
ABC5,84,162,45,7020,273,-84,357,172,112,177,-2,583,90,12,47,233,54,190,151
