"","RC1","RC2","RC6"
"SampleIDCCA0704",0.389021936811453,0.123358310700686,-0.311175424078606
"SampleIDEMW0001",-4.81304224160893,0.624807314393739,3.96587577105087
"SampleIDEMW0002",-1.12129328048809,0.0936338174020506,0.277928883592721
"SampleIDEMW0003",-1.19467903297547,0.00795669641489745,0.261299951056335
"SampleIDEMW0004",-1.3786172304037,0.242005940461846,-0.162690481462745
"SampleIDEMW0005",-1.47629339700339,0.190687390080369,-0.190333685505985
"SampleIDEMW0006",-1.26970699396208,0.104084125301866,1.3157449779041
"SampleIDENE0014",-0.806561087994139,3.58610034568557,-0.82060226476595
"SampleIDENE0026",-0.84012800126709,2.84618352991402,-1.63547889087542
"SampleIDGOL0001",0.267974962162828,-0.838138321956994,-1.27511832895854
"SampleIDGOL0002",0.0379256997089376,-0.640882449345783,-1.48473265018294
"SampleIDGOL0003",0.0949584823368792,-0.773444912046189,-1.93860718145105
"SampleIDGOL0004",0.228776515860332,-0.597942554151318,-1.71674348627459
"SampleIDGOL0005",-0.220169967746568,-0.77865391882246,-1.76002506016654
"SampleIDGOL0006",-2.93348452064116,-0.282999667018003,0.488141096285513
"SampleIDGOL0007",-3.14501725633072,-0.283472247597893,0.636688955462323
"SampleIDGOL0008",-2.53731333807265,0.129894038630077,2.35264762341895
"SampleIDGOL0009",-2.95882332776615,0.252351375376625,2.74712120805093
"SampleIDGOL0010",-1.42781372600588,-0.62304953911489,-0.924651996864677
"SampleIDGOL0011",-1.49675014303055,-0.634472123696294,-0.972986322504273
"SampleIDGOL0012",-0.979539559928051,-0.624198515597631,-0.602546523333137
"SampleIDGOL0013",-1.65186686969345,-0.161912897736572,0.151872673559243
"SampleIDGOL0014",-1.80676827211314,-0.386912697255268,-0.199460844509735
"SampleIDGOL0015",-0.705848553009732,-0.426071178444834,-0.52105320177497
"SampleIDGOL0016",-0.596990771542332,-0.551203638094938,-0.641738815749033
"SampleIDGOL0017",-0.378758633303674,-0.724578667271178,-0.801092633438243
"SampleIDGOL0018",-0.451135631454463,-0.754460962602816,-0.860421140288307
"SampleIDGOL0019",-0.628251166098495,-0.676056447079346,-0.741890848452829
"SampleIDGOL0020",-0.474074810724705,-0.681063323175601,-0.724782411534542
"SampleIDGOL0021",-0.546231389519102,-0.687407453561023,-0.683683565200666
"SampleIDGOL0022",-0.477896578663454,-0.874845640345339,-0.633125032880505
"SampleIDGOL0023",-0.500631421994586,-0.793909178706032,-0.632375817705814
"SampleIDGOL0024",-0.553234354421835,-0.662440249731178,-0.586883722207298
"SampleIDGOL0025",-0.723225189011221,-0.679346721159102,-0.739092567465419
"SampleIDGOL0026",-0.622036588097518,-0.784881404071483,-0.375080231011117
"SampleIDGOL0027",-0.622036588097518,-0.784881404071483,-0.375080231011117
"SampleIDGOL0028",-0.671943386510593,-0.703862932192177,-0.135462858182181
"SampleIDGOL0029",-0.505489620064028,-0.709803368958029,-0.372487847334117
"SampleIDGOL0030",-0.712751988312831,-0.79515306887699,-0.240324756110286
"SampleIDGOL0031",-0.834314566589477,-0.771675312301332,-0.506956408145113
"SampleIDGOL0032",-0.842172089622366,-0.561286425890943,-0.311710624728718
