"","RC2","RC1","RC3"
"SampleIDJ298",2.19261093154287,-0.771780630931633,0.885883762941642
"SampleIDJ300",1.81365133908377,0.0107139445935199,0.551315041518373
"SampleIDJ312",2.11521077107859,0.980184231926166,2.08887611037835
"SampleIDJ342",1.75281501455851,0.0430923426531013,-0.443577114515504
"SampleIDJ352",-0.0423002324940362,-1.1705812087542,0.90767122580482
"SampleIDJ355",0.336668005266169,-1.31028234131571,0.394053353838164
"SampleIDJ359",-0.579362280345005,-0.889265978872294,0.0969218596206254
"SampleIDJ362",-1.51566285090827,0.822326006517024,-2.77586369979812
"SampleIDJ367",1.48814293736152,-1.24843744700856,0.0245924084548902
"SampleIDJ385",0.785542350062133,-1.78951388358441,0.514616570949024
"SampleIDJ387",-1.2948241168976,0.706419245937863,0.68524333551473
"SampleIDJ401",2.23898106219897,-1.66367491536568,0.139730889166329
"SampleIDJ405",1.70216530140089,-0.809469122696069,-0.529913955574062
"SampleIDJ416",0.820510813473709,3.42969446731846,-0.0385386889608215
"SampleIDJ418",1.85474106666978,0.392621397243706,1.53142360282778
"SampleIDJ421",-0.338400301609168,1.54444297502759,0.173220507061449
"SampleIDJ422",-0.00593773758256908,1.05682334697091,0.347303575997188
"SampleIDJ425i",2.06130977717245,-1.03966087451418,0.516961359271391
"SampleIDJ430h",1.82839332541688,2.69498423462584,-0.321151440539399
"SampleIDJ433a",1.87557187473648,1.83864937827833,-1.40022956955409
"SampleIDJ434a",2.71802542664732,3.00155321163185,-2.63676632860699
"SampleIDJ435d",3.07268576056633,3.76355918358247,-1.49270217422692
"SampleIDNSW0053",0.133977468820443,-0.842442534922551,0.972479924732118
"SampleIDNSW0054",-0.0461711454758107,-1.1080998450684,0.75782125780465
"SampleIDNSW0056",0.101876387661541,-0.973266281584451,0.903284710363931
"SampleIDNSW0057",0.134271982295965,-1.06048883465832,0.73406998955848
"SampleIDNSW0059",-0.176580556856713,-0.719048456540972,0.0286653357230067
"SampleIDNSW0061",0.643397870186356,-1.43115096228758,1.05453135802448
"SampleIDNSW0067",-0.562413142595032,-0.647707566279471,0.980776226984975
"SampleIDNSW0069",-0.214178219968413,-0.742780301963862,1.12201285991132
"SampleIDNSW0106",1.46836572651657,0.604751667995334,0.794044299730157
"SampleIDNSW0170",0.0304382372213822,0.928088136194594,0.689699297095151
"SampleIDNSW0172",0.268767468760627,0.82962883280825,0.697633233258972
"SampleIDNSW0185",0.801897102974956,0.603066544008902,0.594264599474294
"SampleIDNSW0186",0.548529888450579,0.827006821329584,0.537041442276422
"SampleIDNSW0189",0.489524247064003,0.865580297110918,0.209272413836044
"SampleIDNSW0190",-0.120610206486126,0.972836002428098,-0.0184965106076812
"SampleIDNSW0191",0.0694404158044251,0.947358777899893,-0.000492010235466478
"SampleIDNSW0197",-0.0176024131462592,0.99125210985666,0.291004990479973
"SampleIDNSW0198",-0.179922663999167,1.30409597502755,-0.449472934300088
"SampleIDNSW0199",-0.193318735335745,1.23610123705731,-0.400130633476716
"SampleIDNSW0200",-0.0471000341371222,1.27930599674823,0.253448943691026
"SampleIDNSW0201",-0.384914300725992,1.48451495295245,0.0904086631309614
"SampleIDNSW0202",-0.367015599923639,1.52888314140357,0.194192207848472
"SampleIDNSW0220",-0.552770815077518,1.0983176052878,0.0721479874419506
"SampleIDNSW0221",-0.55554718623946,1.03278878448847,-0.0428054290518005
"SampleIDNSW0222",-0.416542575953482,1.19334020980092,0.0724035157550784
"SampleIDNSW0225",-0.177934802439624,0.675759331665154,0.958861764594693
"SampleIDNSW0226",-0.111746005342468,0.576774868935941,0.897491537271108
"SampleIDNSW0228",-0.158838280946433,0.922231432174727,0.56214634402333
"SampleIDNSW0229",-0.179409257614411,1.01116634210686,0.493136694716724
"SampleIDNSW0230",-0.222545382307186,1.27832726818596,0.342214311172971
"SampleIDNSW0231",-0.0925262945267834,1.06303860692707,0.414318765589662
"SampleIDNSW0232",-0.424159734739213,1.28307657100672,0.166911468867052
"SampleIDNSW0234",-1.2455052622524,0.729852338831643,0.499057181469476
"SampleIDNSW0235",-1.10539793012044,0.561567419737814,0.482770122070803
"SampleIDNSW0249",-0.378528006593208,1.06572018600376,0.227638197040774
"SampleIDNSW0251",-0.323852755034613,0.942124146782814,0.389598227863604
"SampleIDNSW0252",-0.188406862434352,0.771245001721291,0.443050627018057
"SampleIDNSW0254",-0.309582198992603,0.838841875604963,0.689602985374875
"SampleIDNSW0255",-0.294275160740421,0.734216664677595,0.830454324430616
"SampleIDNSW0257",-0.214387893257503,0.539954012912659,0.642412227140015
"SampleIDNSW0258",-0.25083022222565,0.311068039021558,0.747966411409322
"SampleIDNSW0259",-0.372740073455994,0.519964732363289,0.553943772543478
"SampleIDNSW0260",-0.292121815929915,0.318677830312516,0.779018751202798
"SampleIDNSW0261",-0.390607303339507,0.504883456473634,0.67645266636218
"SampleIDNSW0263",-0.31912715803308,0.432125425601484,0.501458980427938
"SampleIDNSW0264",-0.206517849138721,0.274574310145752,0.783258316172603
"SampleIDNSW0294",-0.747710915704584,-0.875322876398685,-0.315130141490218
"SampleIDNSW0295",-0.549597538401758,-0.965816492664504,-0.439864320308801
"SampleIDNSW0296",-0.70801218043191,-1.02476332301693,-0.538184530446213
"SampleIDNSW0303",-0.593781404080317,-0.38312813810072,0.175029902473831
