Sample_ID,Site,TDiurnRng,TSeas,AveTWrmQtr,PSeas,PWrmQtr,Pops7
WYSR32,WYSR,166,9177,139,24,109,6
WYSR33,WYSR,166,9177,139,24,109,6
WYSR34,WYSR,166,9177,139,24,109,6
WYSR35,WYSR,166,9177,139,24,109,6
WYSR36,WYSR,166,9177,139,24,109,6
WYSR38,WYSR,164,9091,134,25,112,6
WYSR45,WYSR,163,9029,133,26,113,6
WYSR47,WYSR,163,9029,133,26,113,6
WYSR48,WYSR,163,9029,133,26,113,6
WYSR49,WYSR,163,9029,133,26,113,6
WYSR50,WYSR,163,9029,133,26,113,6
WYSR52,WYSR,163,9029,133,26,113,6
WYSR54,WYSR,163,9029,133,26,113,6
WYPC3,WYSR,164,8916,126,26,119,6
WYPC9,WYSR,164,8913,127,26,118,6
WYPC11,WYSR,164,8952,128,26,118,6
BL40,BL,168,8877,153,36,84,6
BL45,BL,169,8919,154,36,84,6
BL51,BL,168,8939,155,35,84,6
BL54,BL,166,9024,157,33,83,6
BL55,BL,166,9024,157,33,83,6
BL56,BL,166,9024,157,33,83,6
BL57,BL,166,9010,155,32,85,6
BL62,BL,164,9061,158,30,83,6
BL63,BL,164,9061,158,30,83,6
BL64,BL,166,8973,148,30,88,6
BL65,BL,166,8973,148,30,88,6
BL67,BL,165,9062,156,30,84,6
BL68,BL,165,9062,156,30,84,6
BL70,BL,164,9144,159,30,83,6
BL71,BL,163,9145,159,29,83,6
BL72,BL,164,9156,159,29,82,6
BL73,BL,164,9156,159,29,82,6
BL75,BL,164,9190,160,29,82,6
BL76,BL,164,9190,160,29,82,6
BL77,BL,164,9190,160,29,82,6
BL78,BL,164,9196,161,29,82,6
BL79,BL,164,9196,161,29,82,6
BL81,BL,164,9184,161,27,82,6
BL82,BL,164,9184,161,27,82,6
BL83,BL,164,9231,162,29,82,6
BL85,BL,164,9231,162,29,82,6
BL86,BL,164,9242,162,29,82,6
BL87,BL,164,9242,162,29,82,6
BL88,BL,164,9293,163,29,81,6
BL90,BL,165,9280,163,27,81,6
BH1,BH,155,8422,167,64,101,7
BH2,BH,156,8451,167,60,101,7
BH4,BH,155,8422,167,64,101,7
BH6,BH,158,8310,172,68,105,7
BH7,BH,158,8310,172,68,105,7
BH9,BH,158,8310,172,68,105,7
BH10,BH,158,8292,171,68,105,7
BH16,BH,160,8224,170,67,105,7
BH36,BH,159,8295,171,67,105,7
BH37,BH,159,8295,171,67,105,7
BH39,BH,159,8295,171,67,105,7
BH40,BH,159,8295,171,67,105,7
BH41,BH,159,8295,171,67,105,7
BH42,BH,159,8295,171,67,105,7
BH45,BH,158,8260,168,65,109,7
BH46,BH,161,8248,171,68,106,7
BH47,BH,161,8248,171,68,106,7
BH48,BH,161,8248,171,68,106,7
BH49,BH,161,8248,171,68,106,7
BH51,BH,158,8260,168,65,109,7
BH53,BH,158,8260,168,65,109,7
BH54,BH,158,8260,168,65,109,7
BH55,BH,160,8271,171,68,106,7
BH57,BH,159,8310,172,67,105,7
BH58,BH,159,8310,172,67,105,7
BH59,BH,159,8310,172,67,105,7
BH60,BH,159,8310,172,67,105,7
BH62,BH,158,8336,172,67,105,7
BH63,BH,158,8336,172,67,105,7
BH64,BH,158,8336,172,67,105,7
BH65,BH,158,8336,172,67,105,7
BH66,BH,158,8306,172,67,105,7
BH67,BH,158,8324,172,67,105,7
BH68,BH,158,8324,172,67,105,7
BH69,BH,158,8324,172,67,105,7
BH70,BH,158,8324,172,67,105,7
BH71,BH,158,8309,172,67,105,7
BH73,BH,158,8297,172,67,105,7
BH77,BH,157,8311,173,67,105,7
BH78,BH,157,8311,173,67,105,7
BH80,BH,157,8311,173,67,105,7
ABOR01,ABOR,134,9286,173,48,153,7
ABOR02,ABOR,136,8448,158,53,163,7
ABOR03,ABOR,136,8473,158,53,163,7
ABOR04,ABOR,136,8473,158,53,163,7
ABOR05,ABOR,136,8448,158,53,163,7
ABOR06,ABOR,136,8473,158,53,163,7
ABOR07,ABOR,136,8473,158,53,163,7
ABOR08,ABOR,136,8473,158,53,163,7
ABOR09,ABOR,136,8448,158,53,163,7
ABOR10,ABOR,134,9286,173,48,153,7
ABOR11,ABOR,134,9286,173,48,153,7
ABOR12,ABOR,134,9286,173,48,153,7
ABOR13,ABOR,134,9286,173,48,153,7
ABOR14,ABOR,134,9286,173,48,153,7
ABOR15,ABOR,134,9286,173,48,153,7
ABOR16,ABOR,134,9286,173,48,153,7
ABOR17,ABOR,134,9286,173,48,153,7
ABOR18,ABOR,134,9286,173,48,153,7
ABOR19,ABOR,134,9286,173,48,153,7
ABOR20,ABOR,134,9286,173,48,153,7
ABOR21,ABOR,134,9286,173,48,153,7
ABOR22,ABOR,134,9286,173,48,153,7
ABOR23,ABOR,134,9286,173,48,153,7
ABOR24,ABOR,136,9005,161,49,165,7
ABOR25,ABOR,136,9005,161,49,165,7
ABOR26,ABOR,136,9005,161,49,165,7
ABOR27,ABOR,136,9005,161,49,165,7
ABOR28,ABOR,136,9005,161,49,165,7
ABOR29,ABOR,136,9005,161,49,165,7
ABOR30,ABOR,136,9005,161,49,165,7
ABOR31,ABOR,136,9005,161,49,165,7
ABOR32,ABOR,136,9019,162,49,164,7
ABOR33,ABOR,136,9005,161,49,165,7
ABOR34,ABOR,136,9005,161,49,165,7
ABOR35,ABOR,136,9005,161,49,165,7
ABOR36,ABOR,136,9005,161,49,165,7
ABOR37,ABOR,136,9005,161,49,165,7
ABOR38,ABOR,136,9005,161,49,165,7
ABOR39,ABOR,136,9005,161,49,165,7
ABOR40,ABOR,136,9005,161,49,165,7
ABOR41,ABOR,134,9286,173,48,153,7
ABOR42,ABOR,134,9286,173,48,153,7
ABOR43,ABOR,134,9286,173,48,153,7
ABOR44,ABOR,134,9286,173,48,153,7
ABOR45,ABOR,134,9286,173,48,153,7
ABOR46,ABOR,134,9286,173,48,153,7
ABOR47,ABOR,134,9286,173,48,153,7
ABOR48,ABOR,134,9286,173,48,153,7
ABOR49,ABOR,134,9286,173,48,153,7
ABOR50,ABOR,134,9286,173,48,153,7
ABOR51,ABOR,134,9292,173,48,153,7
ABOR52,ABOR,134,9286,173,48,153,7
ABOR53,ABOR,134,9286,173,48,153,7
ABOR54,ABOR,134,9286,173,48,153,7
ABOR55,ABOR,134,9286,173,48,153,7
ABOR56,ABOR,134,9286,173,48,153,7
ABOR57,ABOR,134,9286,173,48,153,7
ABOR58,ABOR,134,9286,173,48,153,7
ABOR59,ABOR,134,9286,173,48,153,7
ABOR60,ABOR,134,9286,173,48,153,7
