Sample_ID,Site,TDiurnRng,TSeas,AveTWrmQtr,PSeas,PWrmQtr,Pops7
BNM12,BNM,158,7949,205,50,150,1
BNM13,BNM,162,8018,210,52,139,1
BNM14,BNM,162,8018,210,52,139,1
BNM15,BNM,162,8018,210,52,139,1
BNM16,BNM,162,8018,210,52,139,1
BNM17,BNM,162,8018,210,52,139,1
BR6,BR,205,6839,179,63,181,2
BR8,BR,205,6839,179,63,181,2
BR11,BR,206,6841,180,63,180,2
BR12,BR,206,6841,180,63,180,2
BR15,BR,206,6842,181,63,180,2
BR16,BR,204,6766,172,64,186,2
BR18,BR,204,6766,172,64,186,2
BR19,BR,204,6766,172,64,186,2
BR20,BR,204,6766,172,64,186,2
BR21,BR,204,6766,172,64,186,2
BR28,BR,204,6766,172,64,186,2
BR30,BR,204,6766,172,64,186,2
BR31,BR,204,6766,172,64,186,2
BR33,BR,204,6766,172,64,186,2
BR34,BR,204,6766,172,64,186,2
BR35,BR,204,6766,172,64,186,2
BR37,BR,204,6759,172,63,187,2
BR39,BR,204,6759,172,63,187,2
BR41,BR,204,6759,172,63,187,2
BR42,BR,204,6759,172,63,187,2
BR45,BR,204,6759,172,63,187,2
BR46,BR,204,6759,172,63,187,2
BR47,BR,204,6759,172,63,187,2
BR48,BR,204,6759,172,63,187,2
BR49,BR,204,6759,172,63,187,2
BR50,BR,204,6759,172,63,187,2
BR51,BR,204,6759,172,63,187,2
BR54,BR,204,6759,172,63,187,2
BR55,BR,204,6759,172,63,187,2
BR56,BR,204,6759,172,63,187,2
BR58,BR,204,6759,172,63,187,2
BR59,BR,204,6759,172,63,187,2
BR60,BR,204,6759,172,63,187,2
BR61,BR,204,6759,172,63,187,2
BR64,BR,205,6839,179,63,181,2
BR65,BR,205,6839,179,63,181,2
BR66,BR,205,6839,179,63,181,2
BR67,BR,205,6839,179,63,181,2
BR68,BR,205,6839,179,63,181,2
BR70,BR,205,6839,179,63,181,2
BR72,BR,205,6839,179,63,181,2
BR73,BR,205,6839,179,63,181,2
BR75,BR,205,6839,179,63,181,2
BR76,BR,205,6839,179,63,181,2
BR77,BR,205,6839,179,63,181,2
BR102,BR,206,6843,181,62,179,2
BR104,BR,206,6831,179,63,180,2
BR105,BR,206,6843,181,62,179,2
BR106,BR,206,6843,181,62,179,2
BR107,BR,206,6843,181,62,179,2
BR108,BR,206,6843,181,62,179,2
BR123,BR,205,6762,175,62,185,2
BR124,BR,205,6762,175,62,185,2
QL1,QL,195,6828,155,66,185,2
QL10,QL,198,6921,160,65,178,2
QL11,QL,198,6921,160,65,178,2
QL12,QL,198,6921,160,65,178,2
QL2,QL,198,6870,158,65,178,2
QL3,QL,197,6890,158,66,180,2
QL4,QL,199,6906,161,67,174,2
QL5,QL,197,6904,159,66,179,2
QL6,QL,197,6904,159,66,179,2
QL7,QL,198,6858,158,65,178,2
QL8,QL,198,6858,158,65,178,2
QL9,QL,198,6921,160,65,178,2
IC2,IC,204,7012,180,70,182,2
IC4,IC,204,7012,180,70,182,2
IC5,IC,204,7012,180,70,182,2
IC6,IC,204,7012,180,70,182,2
IC7,IC,204,7023,180,70,182,2
IC8,IC,204,7023,180,70,182,2
IC9,IC,204,7023,180,70,182,2
LC10,LC,206,6913,167,67,179,2
LC11,LC,204,6834,163,68,186,2
LC2,LC,207,6958,170,69,176,2
LC3,LC,207,6958,170,69,176,2
LC4,LC,207,6958,170,69,176,2
LC5,LC,206,6922,168,67,178,2
LC6,LC,206,6922,168,67,178,2
LC7,LC,206,6922,168,67,178,2
LC8,LC,206,6922,168,67,178,2
LC9,LC,206,6922,168,67,178,2
NMRP4,NMRP,176,8047,192,51,138,3
NMRP5,NMRP,171,7143,149,51,214,3
NMRP6,NMRP,171,7143,149,51,214,3
NMRP7,NMRP,174,7330,161,52,195,3
NMRP9,NMRP,182,8218,206,55,121,3
NMRP13,NMRP,180,8385,174,50,135,3
NMRP17,NMRP,180,8385,174,50,135,3
NMRP_U1,NMRP,180,8385,174,50,135,3
NMRR2,NMRR,175,7502,129,39,194,3
NMRR3,NMRR,178,7657,135,40,184,3
NMRR4,NMRR,180,8016,153,46,160,3
NMRR6,NMRR,180,8148,161,47,152,3
NMRR7,NMRR,180,8148,161,47,152,3
NMRR9,NMRR,180,8385,174,50,135,3
NMRR10,NMRR,180,8385,174,50,135,3
NMRR11,NMRR,180,8385,174,50,135,3
COAR3,COAR,179,7824,176,50,113,3
COAR6,COAR,180,7830,178,49,110,3
COAR7,COAR,180,7803,175,49,110,3
COAR8,COAR,180,7803,175,49,110,3
COAR9,COAR,180,7803,175,49,110,3
COAR12,COAR,178,7926,165,50,114,3
COAR13,COAR,178,7926,165,50,114,3
COAR15,COAR,178,7926,165,50,114,3
COAR18,COAR,178,7955,161,50,117,3
COAR19,COAR,178,7955,161,50,117,3
COAR20,COAR,178,7955,161,50,117,3
COBT9,COBT,152,7227,155,47,152,3
COBT10,COBT,152,7227,155,47,152,3
COBT11,COBT,152,7227,155,47,152,3
COBT12,COBT,152,7227,155,47,152,3
COBT13,COBT,154,7439,166,48,146,3
SV9,SV,157,7275,153,42,154,3
SV10,SV,157,7275,153,42,154,3
SV11,SV,157,7275,154,42,154,3
SV12,SV,158,7293,155,42,154,3
SV13,SV,158,7356,161,44,150,3
SV14,SV,158,7371,162,44,151,3
SV15,SV,158,7423,166,45,149,3
SV16,SV,158,7423,166,45,149,3
SV17,SV,158,7530,172,44,146,3
SV20,SV,158,7569,175,44,143,3
SV23,SV,158,7569,175,44,143,3
SV28,SV,158,7826,187,44,136,3
SV31,SV,158,7848,188,44,135,3
SV32,SV,158,7848,188,44,135,3
SV33,SV,158,7848,188,44,135,3
SV34,SV,159,7985,194,44,130,3
SV35,SV,159,7985,194,44,130,3
SV37,SV,159,8069,196,45,128,3
SV38,SV,159,8069,196,45,128,3
SV39,SV,157,7880,189,44,135,3
SV40,SV,160,8114,197,45,128,3
SV41,SV,160,8114,197,45,128,3
SV45,SV,160,8114,197,45,128,3
SV48,SV,160,8129,198,45,128,3
SV50,SV,160,8129,198,45,128,3
SV51,SV,160,8150,198,45,126,3
SV52,SV,160,8188,199,46,126,3
SV53,SV,160,8170,199,46,127,3
NP1,NP,153,8970,203,54,98,3
NP2,NP,153,8957,203,54,98,3
NP3,NP,153,8957,203,54,98,3
NP4,NP,153,8957,203,54,98,3
NP6,NP,152,9177,201,48,84,3
NP8,NP,152,9168,200,48,84,3
NP12,NP,152,9168,200,48,84,3
NP13,NP,152,9168,200,48,84,3
NP14,NP,151,9250,200,48,78,3
NP16,NP,144,9219,194,46,73,3
NP17,NP,144,9219,194,46,73,3
NP19,NP,144,9219,194,46,73,3
NP21,NP,144,9219,194,46,73,3
NP25,NP,144,9219,194,46,73,3
NP26,NP,149,9356,201,49,70,3
NP27,NP,150,9286,201,47,74,3
NP29,NP,150,9286,201,47,74,3
NP30,NP,150,9286,201,47,74,3
NP31,NP,150,9286,201,47,74,3
NP33,NP,150,9286,201,47,74,3
NP36,NP,150,9264,200,47,76,3
NP37,NP,150,9264,200,47,76,3
NP38,NP,150,9264,200,47,76,3
